Symbol,Name,Sector,Industry
016380,KG동부제철,MATERIALS,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매"
046440,KG모빌리언스,IT,유무선전화결제서비스
035600,KG이니시스,IT,전자지불서비스
001390,KG케미칼,MATERIALS,"콘크리트혼화제, 비료, 친환경농자재, 수처리제"
060720,KH바텍,IT,"휴대폰부품(SHIELD, BRACKET)"
001940,KISCO홀딩스,MATERIALS,지주사업
122450,KMH,COMMUNICATION,방송채널사업 및 방송송출서비스
052900,KMH하이텍,MATERIALS,TRAY(반도체Packing재료)
058400,KNN,COMMUNICATION,방송프로그램 제작 및 송출
114450,KPX생명과학,MATERIALS,의약품 중간체 등
025000,KPX케미칼,MATERIALS,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매"
092230,KPX홀딩스,MATERIALS,지주회사
000040,KR모터스,INDUSTRIAL,"이륜차(오토바이) 제조,도매"
044450,KSS해운,INDUSTRIAL,"특수화물해상운송(케이컬,액화가스,냉동.냉장화물),선박대여"
030200,KT,COMMUNICATION,"유무선통신사업,공중전기통신사업,인터넷,전자상거래,네트워크(전용회선,데이터통신,초고속사업 등)"
033780,KT&G,CS,"잎담배,제조담배,홍삼,홍삼제품 제조,판매"
030210,KTB투자증권,FINANCIAL,"금융업, 서비스, 부동산"
036030,KTH,OTHER,"K쇼핑, 콘텐츠유통, ICT"
058850,KTcs,COMMUNICATION,전화번호검색 데이타제공/콜센터 운영
058860,KTis,COMMUNICATION,"114전화번호안내, 고객센터"
060370,KT서브마린,INDUSTRIAL,해저케이블등의 건설 및 유지보수 업무
093050,LF,OTHER,"기성복, 의류, 잡화, 제조"
003550,LG,FINANCIAL,지주회사
034220,LG디스플레이,IT,액정표시장치(TFT-LCD) 제조
001120,LG상사,OTHER,"전자,기계,화공,유류.금속,의류 수출입,도소매"
051900,LG생활건강,MATERIALS,"화장품,생활용품 제조,도매"
032640,LG유플러스,COMMUNICATION,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공"
011070,LG이노텍,IT,기타 전자부품 제조업
066570,LG전자,COMMUNICATION,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기"
108670,LG하우시스,MATERIALS,"창호재, 자동차부품 등"
037560,LG헬로비전,COMMUNICATION,"케이블TV, 인터넷서비스 등"
051910,LG화학,MATERIALS,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매"
079550,LIG넥스원,INDUSTRIAL,정밀유도무기 등
006260,LS,FINANCIAL,"전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매"
010120,LS ELECTRIC,INDUSTRIAL,"고압기기,저압기기,변압기,배전반,PLC,인버터,빌딩설비,공조기,건축배관,자동화기기 제조,동가공"
000680,LS네트웍스,OTHER,"혁화,의류,등산용품 도매,제조/부동산 임대"
229640,LS전선아시아,FINANCIAL,
023150,MH에탄올,CS,"주정,탄산가스 제조"
065150,MP그룹,CS,외식 프랜차이즈사업 및 식자재 유통
219550,MP한강,OTHER,기업인수합병
035420,NAVER,IT,포털 서비스 및 온라인 광고
160550,NEW,CD,영화 투자 및 배급
053290,NE능률,CD,영어학습교재
181710,NHN,IT,한게임
104200,NHN벅스,IT,"디지털음원유통, 온라인음악서비스"
060250,NHN한국사이버결제,COMMUNICATION,전자결제서비스업
005940,NH투자증권,FINANCIAL,"증권업,종합금융"
338100,NH프라임리츠,REAL_ESTATE,부동산 투자
034310,NICE,FINANCIAL,"기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보 제공,시장조사,사회여론조사,점외 CD/ATM사업"
030190,NICE평가정보,COMMUNICATION,"개인 및 기업정보,솔루션"
008260,NI스틸,MATERIALS,"스틸파이프,철강재임가공 제조,도매"
004250,NPC,MATERIALS,"산업용기프라스틱제품(플라스틱 파렛트,시트 파렛트) 제조,판매"
010060,OCI,MATERIALS,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
078590,OQP,INDUSTRIAL,자동차내장카페트
178920,PI첨단소재,MATERIALS,PI필름
024940,PN풍년,INDUSTRIAL,압력솥
005490,POSCO,MATERIALS,"열연코일,냉연강판,후판,선재,스테인리스 제조"
218410,RFHIC,COMMUNICATION,GaN 트랜지스터
091340,S&K폴리텍,IT,고밀도폴리우레탄폼시트
100840,S&TC,INDUSTRIAL,"공냉식 열교환장치,폐열회수장치 제조"
064960,S&T모티브,INDUSTRIAL,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매"
003570,S&T중공업,INDUSTRIAL,"자동차부품(동력전달장치 등),공작기계(CNC선반 등),사출성형기 제조"
036530,S&T홀딩스,FINANCIAL,"지배,경영지도,정리,육성"
010950,S-Oil,ENERGY,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매"
019550,SBI인베스트먼트,FINANCIAL,벤처캐피탈
950110,SBI핀테크솔루션즈,IT,전자결제대행 및 핀테크 비스
034120,SBS,COMMUNICATION,"TV,라디오방송,광고"
101060,SBS미디어홀딩스,COMMUNICATION,지주회사
046140,SBS콘텐츠허브,CD,"컨텐츠, 프로젝트"
036120,SCI평가정보,COMMUNICATION,"신용조회,채권추심,신용조사"
099220,SDN,INDUSTRIAL,"태양광기자재 및 선박용엔진 도매, 태양광발전시스템 구축 및 설계"
036540,SFA반도체,IT,"반도체패키지(SOP,DIP,QFP)"
255220,SG,MATERIALS,"아스콘, 레미콘"
040610,SG&G,INDUSTRIAL,생활정보신문
049470,SGA,IT,"산업용컴퓨터 제조, 판매"
184230,SGA솔루션즈,IT,보안솔루션
224880,SGA클라우드서비스,IT,임베디드 소프트웨어 및 하드웨어
